actors,director,movie_name
Holly Hunter,Brad Bird,The Incredibles
Jason Lee,Brad Bird,The Incredibles
Dominique Louis,Brad Bird,The Incredibles
Teddy Newton,Brad Bird,The Incredibles
Jean Sincere,Brad Bird,The Incredibles
Eli Fucile,Brad Bird,The Incredibles
Maeve Andrews,Brad Bird,The Incredibles
Wallace Shawn,Brad Bird,The Incredibles
Spencer Fox,Brad Bird,The Incredibles
Lou Romano,Brad Bird,The Incredibles
Wayne Canney,Brad Bird,The Incredibles
Sarah Vowell,Brad Bird,The Incredibles
Michael Bird,Brad Bird,The Incredibles
Elizabeth Peña,Brad Bird,The Incredibles
Bud Luckey,Brad Bird,The Incredibles
Brad Bird,Brad Bird,The Incredibles
Brad Bird,Brad Bird,The Incredibles
Carole Lombard,Ernst Lubitsch,To Be or Not to Be
Jack Benny,Ernst Lubitsch,To Be or Not to Be
Robert Stack,Ernst Lubitsch,To Be or Not to Be
Felix Bressart,Ernst Lubitsch,To Be or Not to Be
Lionel Atwill,Ernst Lubitsch,To Be or Not to Be
Stanley Ridges,Ernst Lubitsch,To Be or Not to Be
Sig Ruman,Ernst Lubitsch,To Be or Not to Be
Tom Dugan,Ernst Lubitsch,To Be or Not to Be
Charles Halton,Ernst Lubitsch,To Be or Not to Be
George Lynn,Ernst Lubitsch,To Be or Not to Be
Henry Victor,Ernst Lubitsch,To Be or Not to Be
Maude Eburne,Ernst Lubitsch,To Be or Not to Be
Halliwell Hobbes,Ernst Lubitsch,To Be or Not to Be
Miles Mander,Ernst Lubitsch,To Be or Not to Be
Rudolph Anders,Ernst Lubitsch,To Be or Not to Be
Paul Barrett,Ernst Lubitsch,To Be or Not to Be
Sven Hugo Borg,Ernst Lubitsch,To Be or Not to Be
Danny Borzage,Ernst Lubitsch,To Be or Not to Be
Danny Borzage,Ernst Lubitsch,To Be or Not to Be
Vincent Cassel,Mathieu Kassovitz,La haine
Hubert Koundé,Mathieu Kassovitz,La haine
Saïd Taghmaoui,Mathieu Kassovitz,La haine
Abdel Ahmed Ghili,Mathieu Kassovitz,La haine
Solo,Mathieu Kassovitz,La haine
Joseph Momo,Mathieu Kassovitz,La haine
Héloïse Rauth,Mathieu Kassovitz,La haine
Rywka Wajsbrot,Mathieu Kassovitz,La haine
Olga Abrego,Mathieu Kassovitz,La haine
Laurent Labasse,Mathieu Kassovitz,La haine
Choukri Gabteni,Mathieu Kassovitz,La haine
